zinc_id,SMILES
ZINC000085487876,C[C@@H]1N[C@H](CC[C@H]2CCCC3(CCCC3)CC[C@@](O)(CC(=O)O)CN[C@@]3(C)C[C@H](N)N[C@H](Cc4cccc(c4)C2)C3)CC[C@H]1O
ZINC000095099500,OC1=C[C@@H](O)[C@@H](C[C@@H](O)Cc2cccc(O)c2)C(O)=C1
ZINC000150356108,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C1=O
ZINC000070450921,CCCCCCCCCCCCCCCC(=O)O[C@H]1C(C)=C[C@@]23C[C@H](C)C[C@@H]4[C@H]([C@H](C=C(CO)[C@@H](O)[C@]12O)C3=O)C4(C)C
ZINC000014585950,CC[C@H](C)C(=O)c1c(O)c(C[C@@H](O)C(C)(C)O)c2oc(=O)cc(-c3ccccc3)c2c1O
ZINC000014638248,Cc1nccnc1C[C@@H](O)[C@@H](O)CO
ZINC000150343716,CC(C)Cc1cc(-c2oc3cc(O)c4c(c3c(=O)c2O)O[C@H]2C[C@H]3c5c-4cc4c6c(ccc(c56)[C@@H](SSCCC[C@@H]2O)[C@@H]3O)[C@@H]2CC[C@@H](CO)[C@H]4C2)cc(Cc2cccc(O)c2)c1O
ZINC000205850731,C=C1C(=O)O[C@@H]2C[C@@H](C)/C=C\C(=O)[C@](C)(O)[C@H](O)[C@@H](OC(=O)CC(C)C)[C@@H]12
ZINC000085597005,CCCCC[C@H](/C=C/C(=O)CCc1ccc(O)c(OC)c1)Cc1cc(NC(=N)NC)c(O)c(O[C@]2(CNC)CC[C@H](CCOC)C2)c1
ZINC000685935684,C[C@H]1[C@H](C)[C@@](O)(c2ccc3c(c2)OCO3)c2c(ccc3c2OCO3)[C@@H]1O
ZINC000095909381,C/C=C(\C)C(=O)OC[C@@]12[C@@H](OC(C)=O)C[C@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CC[C@H](O)[C@]21CO1
ZINC000085632089,CCc1ccc2ccccc2c1[C@@H]1C=C[C@@H]([C@H](Cc2cnc[cH-]2)[C@H](O)[C@H]2CC[C@@H](O)[C@@](Cc3ccc(O)c(OC)c3)(c3cc(O)cc(CNC)c3)C2=O)c2ccc(O)c(OC)c21
ZINC000085531937,CC[C@H](C)C[C@@H]1[C@@]2(OC(=O)c3c(CCCN)cccc32)[C@@]23CCC=C[C@@]12C(=O)O/C3=C\[C@@H]1CC[C@@H]2CC[C@@H]3C=CC=C[C@]32C1
ZINC000085491400,C=C1C=C[C@H]2[C@@H]3[C@@H](C(C)C)CC[C@@]2(C)[C@H]13
ZINC000036455118,CC(C)(O)[C@H](COc1c2occc2cc2ccc(=O)oc12)OC(=O)C1(O)C[C@@H](O)C(O)[C@H](O)C1
ZINC000085626719,CNCOc1ccc(CC[C@@H](O)CC(=O)CCc2ccc(O)c3c2CCCO3)cc1OC
ZINC000685935927,CC1(C)CC[C@]2(C)CC[C@@]3(C)C(=CC[C@H]4[C@]5(C)CCC(=O)C(C)(C)[C@H]5CC[C@]43C)[C@H]2C1
ZINC000034577870,C=C1OC(=O)C(CCCCCCCc2ccc3c(c2)OCO3)=C1OC
ZINC000005601502,CC(C)=CCOc1ccc(-c2coc3cc4c(c(O)c3c2=O)C=CC(C)(C)O4)cc1
ZINC000085540472,CC(=O)O[C@H]1[C@@H](O)C2=C(C)[C@@H](O)C[C@@]2(C(C)(C)O)[C@H](OC(C)=O)[C@H]2[C@@]1(C)[C@@H](OC(=O)c1ccccc1)C[C@@H](O)[C@@]2(O)CCl
ZINC000150359236,COCCc1c(CO)c2ccc3c(c2oc1=O)[C@H]1OC(=O)C[C@H]2C[C@H](c4cccc(Cc5ccccc5)c4)CC[C@H]2c2ccc(cc2)CC/C(=C(\C)CO)C(=O)O[C@@H]1[C@](C)(CCCc1ccccc1)O3
ZINC000238783312,C[C@@H]1O[C@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@H](O)[C@H]1O
ZINC000103533290,COc1c(O)c([C@H](CCC(C)C)Cc2cccc3c2ccc2nc[cH-]c23)c2[o+]c(-c3ccc(O)cc3)[cH-]c(=O)c2c1O
ZINC000095909176,CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@]3(C)[C@@H]2[C@H](O)[C@H](OC=O)[C@]24C[C@@]23CC[C@@]2(C)CC[C@@H](C)[C@H](C)[C@@H]42)C1(C)C
ZINC000065748625,O=C(O)[C@@H]1O[C@H](Oc2ccc(/C=C/c3cc(O)cc(O)c3)cc2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000013312346,C=CC(C)(C)c1c(O)cc2oc3c(O)c(O)cc(CC=C(C)C)c3c(=O)c2c1O
ZINC000070457505,COc1cc(O[C@@H]2[C@@H](CO)O[C@@H](OC[C@H]3O[C@@H](O)[C@H](C)[C@@H](C)[C@@H]3C)[C@H](O)[C@H]2O)c2c(O)c(C(C)=O)c(C)cc2c1
ZINC000095915060,COc1cc([C@H]2O[C@H](c3ccc(O[C@@H](C)[C@H](O)c4ccc(OC)c(OC)c4)c(OC)c3)[C@@H](C)[C@H]2C)ccc1O
ZINC000085888756,CO[C@@]12C[C@@H]3C=CC(=O)[C@H](C)[C@@]3(C)CC1=C(C)C(=O)N2
ZINC000085996579,CC(C)=CCC/C(C)=C/Cc1c(O)c(O)cc2c(C)c(-c3ccc(O)cc3O)oc12
ZINC000085629208,C[C@H]1C=C[C@H]([C@@H](O)CC(=O)CCc2ccc(O)c(OCCc3ccccc3)c2)CC1
ZINC000085545714,C[C@@]12CC[C@@H](C3(CCCC3)[C@H]1O)[C@]2(C)C1CCCCC1
ZINC000009222070,CC1=C[C@@H]2[C@H](CC1)[C@](C)(O)CC[C@@H]2C(C)C
ZINC000033831584,O=c1c(O)c(-c2ccc(O)cc2)oc2c(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12
ZINC000085488329,CNCc1cc(OC)c(OC)c2c1[C@@H]1[C@@H](O)Oc3c4c(cc(-c5cccc(O)c5)c3[C@@H]1O2)O[C@@]12O[C@@](C(=O)O)(C=C[C@H]1N4)[C@@H](O)[C@H](O)[C@H]2O
ZINC000085595253,C/C=C(/C)C(=O)O[C@@H]1Cc2c(c([C@H](Cc3cccc(O)c3)c3ccnc(N)c3)c3oc(CO)cc(=O)c3c2O)OC1(C)C
ZINC000049784584,C=C(C)CC[C@@H]1C[C@]23C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c4ccc(O)c(O)c4)=C2OC1(C)C)C3=O
ZINC000238751904,C=C1[C@H](OC(=O)/C(C)=C\C)[C@@]23CC[C@@H]4[C@@](C)(C(=O)O)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3
ZINC000070455632,CC1(C)O[C@](C)(OC[C@H]2O[C@H](Oc3ccc(C(=O)O)cc3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@@](C)(O)[C@](C)(O)[C@]1(C)O
ZINC000685935690,C/C=C(/COC(C)=O)C(=O)O[C@@H](C)c1ccc(O)c(C(=O)C=C(C)C)c1
ZINC000103548131,COC(=O)/C=C\[C@@]12COC(C)(C)[C@H]1C(=O)[C@H](O)[C@]1(C)[C@@H]2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@]321
ZINC000085510754,CNC[C@H](O)c1ccc(O)c(CC2CCCC2)c1
ZINC000095914007,O=C(O)[C@@H]1Cc2cc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2N1C(=O)/C=C\c1ccc(O)cc1
ZINC000059587206,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C(=C/CO)C(=O)O
ZINC000095912238,CC1(C)[C@@H](OC(=O)CC(=O)O)CC[C@@]2(C)[C@@H]1CC[C@@]1(C)CC3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@H]12
ZINC000095910547,C[C@H]1C[C@@H](O)[C@@H]2C(C(=O)O)=CO[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12
ZINC000095909841,CCCCCC/C=C/CCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CCCCCCC[C@@H](O)CCCCCC
ZINC000095919160,C[C@@]1(C(=O)O)[C@@H](O)CC[C@@]2(C)[C@@H]1CC=C1C[C@@](C)([C@@H](O)CO)CC[C@@H]12
ZINC000095919120,OC/C=C/C#CC#CC#CC#C[C@@H](CO)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000150346369,C/C=C(\C(=O)O[C@@H]1Cc2c3c(c4oc(CO)cc(=O)c4c2O)[C@H]2c4ccnc(N)c4[C@@H]([C@@H]4CCc5c(cnc6c5CC[C@H](C)N6)C[C@@H]4[C@]1(C)O3)C1(CCCC1)Cc1ccc(O)cc1[C@@H]2CO)C1(O)CCCC1
ZINC000070454318,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC=C2[C@H]3C[C@](C)(CO)C[C@@H](O)[C@]3(C)CC[C@]21C
ZINC000085571350,CC[C@H](/C=C1\OC(=O)C2=C(c3cc(O)ccc3-c3ccccc3)[C@@H]3CC[C@@]21[C@H]1C2=C(CC[C@H]13)/C(=C/C[C@H](C)CO)OC2=O)Cc1ccccc1
ZINC000059588426,C=C([C@H](CC=C(C)C)O/C=C(/C)C(C)=O)[C@H]1[C@H](OC(C)=O)C(=O)[C@@]2(C)O[C@H]2[C@@H]1OC(C)=O
ZINC000103534267,CC1=C[C@](C)(O)CC(C)(C)[C@@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]12O[C@@]1(C)C[C@@H](O)CC2(C)C
ZINC000085507985,C=CCCCC/C=C\C=C\C#CC#CC#CC
ZINC000085507310,C=C[C@@H]1[C@H](CC(=O)O)C(C(=O)OC)=CC[C@H]1O[C@@H]1O[C@H](CO)[C@]23OC=c4nc(C(C)C)[cH-]c4=C2CC[C@@]1(O)[C@H]3O
ZINC000013359254,COc1cc(OC)c2c(C)nc(C)cc2c1-c1ccc(OC)c2c(OC)cc(C)cc12
ZINC000085568950,CNC(=N)NCc1c(CCC=O)cc2c(c1O)C(=O)c1c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(OC)cc1C2=O
ZINC000085540943,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C\c3ccc(O)cc3)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000085850673,CC1=CC(=O)c2c(O)ccc(C3=C(C)C(=O)c4cccc(O)c4C3=O)c2C1=O
ZINC000085645818,C[C@@H]1O[C@H](c2c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)[C@H](O)[C@H](O)[C@H]1O
ZINC000085627653,CCCCC[C@H](O)C[C@@H](CCc1cc(CNC)c(O)c(OC2CCCC2)c1)OC(C)=O
ZINC000039054088,C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(CO)[C@@H](O)CC[C@](C)(C=O)[C@H]1C[C@H]3O
ZINC000085630667,COc1cc(/C=C/C(=O)CC(=O)CCCCCCCCc2ccccc2)c(Cc2cnc(N)c(Cc3cc(C)cc(C)c3)c2)cc1O
ZINC000035465238,C[C@@H]1[C@@H](c2ccc(O)c(O)c2)O[C@@H](c2ccc(O)c(O)c2)[C@@H]1C
ZINC000013433617,C=C(c1ccccc1)c1c(O)c2c(c3c1OC(C)(C)C=C3)O[C@H](C)[C@H](C)C2=O
ZINC000085511397,CC[C@]1(O)CN2CC[C@@]34C(=C(C(=O)OC)[C@@H]1C[C@@H]23)Nc1ccccc14
ZINC000095914767,C=C1[C@@H]2CC(=O)[C@@H]3[C@@](C2)([C@@H]1OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1C(C)(C)[C@@H](OC(C)=O)CC[C@]13C
ZINC000085628731,CCCCC[C@@H](O)[C@@H](CCCCC)C(=O)CCc1ccc2c(c1)O[C@@H]1[C@@H](C#C[C@H](O)c3ccc(C(N)N)cc3CC3=CN=C4C=[N+]1C=C34)C1(C#CO2)CCCC1
ZINC000044699916,OC[C@@H]1O[C@H](OCCc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000015213541,C=C[C@@](C)(O)CC/C=C(\C)[C@@H](O)CC=C(C)C
ZINC000012153375,C/C=C(/C)C(=O)OC[C@@](O)(CO)c1ccc(C)cc1O
ZINC000059496684,O=C1c2c(O)cc(O)cc2O[C@@]2(c3ccc(O)cc3)Oc3cc(O)c4c(c3[C@]12O)O[C@@H](c1ccc(O)cc1)[C@H](O)C4
ZINC000085630532,CNC[C@H](CCCCCC(=O)CC(=O)/C=C/c1cc(OC)c(O)cc1Cc1cnc(N)cc1CCc1ccccc1)C1CCNCC1
ZINC000095486037,C=C[C@@]12COC(=O)C(=C)[C@H]1[C@@H](O)[C@H](C(=C)C(C)=O)[C@@H](OC(=O)C(=C)CO)C2
ZINC000085596613,CCN[C@H](CCc1ccnc(N)c1)COc1cc([C@H]2O[C@@H](CCc3ccc(O)c(OC)c3)C[C@H](O)[C@H]2CCO)cc(OC)c1O
ZINC000238762877,C=C1CC[C@@H](O)[C@]2(C)C[C@@H]3OC(=O)C(=C)[C@H]3[C@H](OC(=O)/C(C)=C\C)[C@@H]12
ZINC000085592830,CCc1cc(-c2cccc(O)c2)c(Cc2cc(OC3CCCC3)cc3c2OC[C@H]([C@@H]2[C@@H](CCCOC)Oc4ccc(OC)cc4[C@@H]2O)[C@@H]3O)cc1O
ZINC000085545187,C=C1C=C2[C@@](C)([C@@H](C)CC[C@@]23CC[C@@H](C[C@H](CO)Cc2ccccc2)C3)[C@H]2[C@@H]1C2(C)C
ZINC000013481218,COc1c(C(=O)O)c(O)cc2c1C(=O)c1ccccc1C2=O
ZINC000013508152,O=c1c(OS(=O)(=O)O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
ZINC000276935274,CC(=O)N[C@H]1[C@H](O)[C@H](O)[C@@H](CO[C@@H]2OC[C@H](O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)O[C@H]1O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@@H]2[C@H]4CC(C)(C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C
